year   clock  
1993   40.0   
1999   600.0  
1999   750.0  
2000   1000.0 
2001   1400.0 
2004   2600.0 
2005   2800.0 
2006   2600.0 
2006   2800.0 
2005   2200.0 
2006   2600.0 
2007   3100.0 
2007   3200.0 
2007   1600.0 
2008   2100.0 
2008   2500.0 
2002   1800.0 
2003   2167.0 
1996   75.0   
1996   90.0   
1997   233.0  
1998   300.0  
1998   333.0  
1998   400.0  
1998   500.0  
1999   450.0  
2003   1800.0 
2003   2000.0 
2006   2600.0 
2008   2100.0 
2008   2200.0 
2008   2300.0 
2006   1800.0 
2006   2000.0 
2006   2200.0 
2006   2400.0 
2006   2600.0 
2007   2800.0 
2007   3000.0 
2007   2000.0 
2008   2300.0 
2008   2700.0 
2009   2900.0 
2009   2600.0 
2007   2800.0 
2007   3000.0 
2007   2000.0 
2006   2800.0 
2007   3000.0 
2008   2500.0 
2009   2800.0 
2009   2600.0 
2009   2800.0 
2009   2500.0 
2009   2600.0 
2009   2600.0 
2009   2800.0 
2009   2800.0 
2009   3000.0 
2009   3200.0 
2008   2400.0 
2008   2400.0 
2008   2500.0 
2008   2600.0 
2008   2000.0 
2005   2200.0 
2007   2000.0 
1990   40.0   
1993   100.0  
1992   33.0   
1995   120.0  
1996   120.0  
1997   188.0  
2000   450.0  
1992   100.0  
1992   125.0  
1992   150.0  
1992   166.0  
1992   175.0  
1992   190.0  
1992   200.0  
1994   225.0  
1994   233.0  
1994   266.0  
1994   275.0  
1994   300.0  
1995   231.0  
1995   233.0  
1995   99.0   
1994   250.0  
1994   266.0  
1994   291.0  
1994   300.0  
1994   333.0  
1994   350.0  
1995   352.0  
1995   374.0  
1995   400.0  
1995   433.0  
1995   437.0  
1995   466.0  
1995   480.0  
1995   500.0  
1995   533.0  
1995   600.0  
1995   612.0  
1995   767.0  
1997   533.0  
1998   600.0  
1998   466.0  
1998   500.0  
1998   525.0  
1998   575.0  
1999   616.0  
1999   667.0  
1999   700.0  
1999   731.0  
1999   750.0  
1999   833.0  
2001   833.0  
2001   1000.0 
2001   1001.0 
2001   1224.0 
2001   1250.0 
2002   1000.0 
2002   1150.0 
2004   1300.0 
1995   110.0  
1994   60.0   
1994   70.0   
1994   85.0   
1999   272.0  
1998   360.0  
1999   450.0  
2008   2520.0 
2008   2750.0 
1996   170.0  
1995   101.0  
1995   118.0  
1994   120.0  
1996   132.0  
1996   160.0  
1996   180.0  
1995   160.0  
1995   180.0  
1998   440.0  
2000   440.0  
2000   500.0  
2000   550.0  
2000   552.0  
2001   750.0  
1997   160.0  
1996   77.0   
1998   200.0  
1998   222.0  
1998   375.0  
