year specfp_loess
1991 0.104497531719009
1993 0.197935524776345
1994 0.275263920257667
1995 0.384264251746772
1996 0.537215883316288
1997 0.750393203049594
1998 1.04479995104588
1999 1.44665382282372
2000 1.98731328819641
2001 2.70222379868707
2002 3.62837839058118
2003 4.79979983818365
2004 6.24073868610102
2005 8.26965091949778
2006 11.1157511014781
2007 14.2204441643451
2008 17.36709016674
2009 21.1817344470388
2010 25.8489158588271
2011 31.2540511247774
2012 37.4832266950052
2013 42.9742321954233
2014 48.6268803853627
2015 54.8411816337916
2016 61.5289311756384
