      n  effec50  effec80  effec90  effec95  effec98  effec99  effec100
     1      1.00     1.00     1.00     1.00     1.00     1.00     1.00
     2      1.33     1.67     1.82     1.90     1.96     1.98     2.00
     3      1.50     2.14     2.50     2.73     2.88     2.94     3.00
     4      1.60     2.50     3.08     3.48     3.77     3.88     4.00
     5      1.67     2.78     3.57     4.17     4.63     4.81     5.00
     6      1.71     3.00     4.00     4.80     5.45     5.71     6.00
     7      1.75     3.18     4.38     5.38     6.25     6.60     7.00
     8      1.78     3.33     4.71     5.93     7.02     7.48     8.00
     9      1.80     3.46     5.00     6.43     7.76     8.33     9.00
    10      1.82     3.57     5.26     6.90     8.47     9.17    10.00
    11      1.83     3.67     5.50     7.33     9.17    10.00    11.00
    12      1.85     3.75     5.71     7.74     9.84    10.81    12.00
    13      1.86     3.82     5.91     8.12    10.48    11.61    13.00
    14      1.87     3.89     6.09     8.48    11.11    12.39    14.00
    15      1.88     3.95     6.25     8.82    11.72    13.16    15.00
    16      1.88     4.00     6.40     9.14    12.31    13.91    16.00
    17      1.89     4.05     6.54     9.44    12.88    14.66    17.00
    18      1.89     4.09     6.67     9.73    13.43    15.38    18.00
    19      1.90     4.13     6.79    10.00    13.97    16.10    19.00
    20      1.90     4.17     6.90    10.26    14.49    16.81    20.00
    21      1.91     4.20     7.00    10.50    15.00    17.50    21.00
    22      1.91     4.23     7.10    10.73    15.49    18.18    22.00
    23      1.92     4.26     7.19    10.95    15.97    18.85    23.00
    24      1.92     4.29     7.27    11.16    16.44    19.51    24.00
    25      1.92     4.31     7.35    11.36    16.89    20.16    25.00
    26      1.93     4.33     7.43    11.56    17.33    20.80    26.00
    27      1.93     4.35     7.50    11.74    17.76    21.43    27.00
    28      1.93     4.38     7.57    11.91    18.18    22.05    28.00
    29      1.93     4.39     7.63    12.08    18.59    22.66    29.00
    30      1.94     4.41     7.69    12.24    18.99    23.26    30.00
    31      1.94     4.43     7.75    12.40    19.38    23.85    31.00
    32      1.94     4.44     7.80    12.55    19.75    24.43    32.00
    33      1.94     4.46     7.86    12.69    20.12    25.00    33.00
    34      1.94     4.47     7.91    12.83    20.48    25.56    34.00
    35      1.94     4.49     7.95    12.96    20.83    26.12    35.00
    36      1.95     4.50     8.00    13.09    21.18    26.67    36.00
    37      1.95     4.51     8.04    13.21    21.51    27.21    37.00
    38      1.95     4.52     8.09    13.33    21.84    27.74    38.00
    39      1.95     4.53     8.12    13.45    22.16    28.26    39.00
    40      1.95     4.55     8.16    13.56    22.47    28.78    40.00
    41      1.95     4.56     8.20    13.67    22.78    29.29    41.00
    42      1.95     4.57     8.24    13.77    23.08    29.79    42.00
    43      1.95     4.57     8.27    13.87    23.37    30.28    43.00
    44      1.96     4.58     8.30    13.97    23.66    30.77    44.00
    45      1.96     4.59     8.33    14.06    23.94    31.25    45.00
    46      1.96     4.60     8.36    14.15    24.21    31.72    46.00
    47      1.96     4.61     8.39    14.24    24.48    32.19    47.00
    48      1.96     4.62     8.42    14.33    24.74    32.65    48.00
    49      1.96     4.62     8.45    14.41    25.00    33.11    49.00
    50      1.96     4.63     8.47    14.49    25.25    33.56    50.00
    51      1.96     4.64     8.50    14.57    25.50    34.00    51.00
    52      1.96     4.64     8.52    14.65    25.74    34.44    52.00
    53      1.96     4.65     8.55    14.72    25.98    34.87    53.00
    54      1.96     4.66     8.57    14.79    26.21    35.29    54.00
    55      1.96     4.66     8.59    14.86    26.44    35.71    55.00
    56      1.96     4.67     8.62    14.93    26.67    36.13    56.00
    57      1.97     4.67     8.64    15.00    26.89    36.54    57.00
    58      1.97     4.68     8.66    15.06    27.10    36.94    58.00
    59      1.97     4.68     8.68    15.13    27.31    37.34    59.00
    60      1.97     4.69     8.70    15.19    27.52    37.74    60.00
    61      1.97     4.69     8.71    15.25    27.73    38.12    61.00
    62      1.97     4.70     8.73    15.31    27.93    38.51    62.00
    63      1.97     4.70     8.75    15.37    28.12    38.89    63.00
    64      1.97     4.71     8.77    15.42    28.32    39.26    64.00
    65      1.97     4.71     8.78    15.48    28.51    39.63    65.00
    66      1.97     4.71     8.80    15.53    28.70    40.00    66.00
    67      1.97     4.72     8.82    15.58    28.88    40.36    67.00
    68      1.97     4.72     8.83    15.63    29.06    40.72    68.00
    69      1.97     4.73     8.85    15.68    29.24    41.07    69.00
    70      1.97     4.73     8.86    15.73    29.41    41.42    70.00
    71      1.97     4.73     8.88    15.78    29.58    41.76    71.00
    72      1.97     4.74     8.89    15.82    29.75    42.11    72.00
    73      1.97     4.74     8.90    15.87    29.92    42.44    73.00
    74      1.97     4.74     8.92    15.91    30.08    42.77    74.00
    75      1.97     4.75     8.93    15.96    30.24    43.10    75.00
    76      1.97     4.75     8.94    16.00    30.40    43.43    76.00
    77      1.97     4.75     8.95    16.04    30.56    43.75    77.00
    78      1.97     4.76     8.97    16.08    30.71    44.07    78.00
    79      1.98     4.76     8.98    16.12    30.86    44.38    79.00
    80      1.98     4.76     8.99    16.16    31.01    44.69    80.00
    81      1.98     4.76     9.00    16.20    31.15    45.00    81.00
    82      1.98     4.77     9.01    16.24    31.30    45.30    82.00
    83      1.98     4.77     9.02    16.27    31.44    45.60    83.00
    84      1.98     4.77     9.03    16.31    31.58    45.90    84.00
    85      1.98     4.78     9.04    16.35    31.72    46.20    85.00
    86      1.98     4.78     9.05    16.38    31.85    46.49    86.00
    87      1.98     4.78     9.06    16.42    31.99    46.77    87.00
    88      1.98     4.78     9.07    16.45    32.12    47.06    88.00
    89      1.98     4.78     9.08    16.48    32.25    47.34    89.00
    90      1.98     4.79     9.09    16.51    32.37    47.62    90.00
    91      1.98     4.79     9.10    16.55    32.50    47.89    91.00
    92      1.98     4.79     9.11    16.58    32.62    48.17    92.00
    93      1.98     4.79     9.12    16.61    32.75    48.44    93.00
    94      1.98     4.80     9.13    16.64    32.87    48.70    94.00
    95      1.98     4.80     9.13    16.67    32.99    48.97    95.00
    96      1.98     4.80     9.14    16.70    33.10    49.23    96.00
    97      1.98     4.80     9.15    16.72    33.22    49.49    97.00
    98      1.98     4.80     9.16    16.75    33.33    49.75    98.00
    99      1.98     4.81     9.17    16.78    33.45    50.00    99.00
   100      1.98     4.81     9.17    16.81    33.56    50.25   100.00
   101      1.98     4.81     9.18    16.83    33.67    50.50   101.00
   102      1.98     4.81     9.19    16.86    33.77    50.75   102.00
   103      1.98     4.81     9.20    16.89    33.88    50.99   103.00
   104      1.98     4.81     9.20    16.91    33.99    51.23   104.00
   105      1.98     4.82     9.21    16.94    34.09    51.47   105.00
   106      1.98     4.82     9.22    16.96    34.19    51.71   106.00
   107      1.98     4.82     9.22    16.98    34.29    51.94   107.00
   108      1.98     4.82     9.23    17.01    34.39    52.17   108.00
   109      1.98     4.82     9.24    17.03    34.49    52.40   109.00
   110      1.98     4.82     9.24    17.05    34.59    52.63   110.00
   111      1.98     4.83     9.25    17.08    34.69    52.86   111.00
   112      1.98     4.83     9.26    17.10    34.78    53.08   112.00
   113      1.98     4.83     9.26    17.12    34.88    53.30   113.00
   114      1.98     4.83     9.27    17.14    34.97    53.52   114.00
   115      1.98     4.83     9.27    17.16    35.06    53.74   115.00
   116      1.98     4.83     9.28    17.19    35.15    53.95   116.00
   117      1.98     4.83     9.29    17.21    35.24    54.17   117.00
   118      1.98     4.84     9.29    17.23    35.33    54.38   118.00
   119      1.98     4.84     9.30    17.25    35.42    54.59   119.00
   120      1.98     4.84     9.30    17.27    35.50    54.79   120.00
   121      1.98     4.84     9.31    17.29    35.59    55.00   121.00
   122      1.98     4.84     9.31    17.30    35.67    55.20   122.00
   123      1.98     4.84     9.32    17.32    35.76    55.41   123.00
   124      1.98     4.84     9.32    17.34    35.84    55.61   124.00
   125      1.98     4.84     9.33    17.36    35.92    55.80   125.00
   126      1.98     4.85     9.33    17.38    36.00    56.00   126.00
   127      1.98     4.85     9.34    17.40    36.08    56.19   127.00
   128      1.98     4.85     9.34    17.41    36.16    56.39   128.00
