  n          openmp            cuda
 10    0.0000031560    0.0000271780
 11    0.0000051930    0.0000268460
 12    0.0000184720    0.0000276720
 13    0.0000229110    0.0000275580
 14    0.0000337750    0.0000282650
 15    0.0000549000    0.0000295680
 16    0.0000932930    0.0000326840
 17    0.0001276930    0.0000368780
 18    0.0002096040    0.0000458930
 19    0.0003651200    0.0000673100
 20    0.0006754800    0.0001036660
 21    0.0012100200    0.0001688000
 22    0.0021381800    0.0002992080
 23    0.0038229200    0.0005502120
 24    0.0073353400    0.0010627200
 25    0.0145543000    0.0022141400
 26    0.0286768000    0.0041267400
 27    0.0564935000    0.0075147900
 28    0.1115970000    0.0148398000
 29    0.2225650000    0.0296401000



